,Unnamed: 0,设备编号,资产编号,设备名称,设备型号,设备规格,制造厂,出厂年月,使用部门,安装地点,立卡年月,启用年月,ABC分类,财务分类,原值(元),完好状态,当前管理状态,状态变动日期,使用年限(年),供货商,出厂编号,单价(元),设备属性,生产用途,责任人,备注
1,,5808051,未验收,全数字控制脉冲MIG/MAG焊机,YD-500GP5HNW,17.6KVA,唐山松下产业机器有限公司,2021-08,赤壁子公司,产业园002车间,2022-06,2022-06,B,,0.0,完好,在用, ,0,武汉市昊阳时代机电设备有限公司,16821N0009,0.0,设备,生产,陈增宝,
2,,5807092,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,1672100653,0.0,设备,生产,,华舟应急
3,,5807091,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,1672100652,0.0,设备,生产,,华舟应急
4,,5807090,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1178,0.0,设备,生产,,华舟应急
5,,5807089,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1098,0.0,设备,生产,,华舟应急
6,,5807088,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,1672100650,0.0,设备,生产,,华舟应急
7,,5807087,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1172,0.0,设备,生产,,华舟应急
8,,5807086,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1170,0.0,设备,生产,,华舟应急
9,,5807085,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1179,0.0,设备,生产,,华舟应急
10,,5807084,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1180,0.0,设备,生产,,华舟应急
11,,5807083,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1184,0.0,设备,生产,,华舟应急
12,,5807082,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16722M1174,0.0,设备,生产,,华舟应急
13,,5807081,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,1672100678,0.0,设备,生产,,华舟应急
14,,5807080,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,1672100677,0.0,设备,生产,,华舟应急
15,,5807079,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16721G0148,0.0,设备,生产,,华舟应急
16,,5807078,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司, ,赤壁子公司,,2022-06,2022-06,B,,0.0,完好,在用, ,8,武汉昊阳时代机电设备有限公司,16721G1072,0.0,设备,生产,,华舟应急
26,,0801009,,立式加工中心,VDL-1300,1300×600,通用技术集团大连机床有限责任公司, ,赤壁子公司,产业园03车间,2022-01,2022-01,B,,616000.0,完好,在用, ,10,通用技术集团大连机床有限责任公司,AW0827505,616000.0,设备,生产,,
27,,0801008,,立式加工中心,VDL-1300,1300×600,通用技术集团大连机床有限责任公司, ,赤壁子公司,产业园03车间,2022-01,2022-01,B,,616000.0,完好,在用, ,10,通用技术集团大连机床有限责任公司,AW0827504,616000.0,设备,生产,,
28,,0801007,,立式加工中心,VDL-1300,1300×600,通用技术集团大连机床有限责任公司, ,赤壁子公司,产业园03车间,2022-01,2022-01,B,,616000.0,完好,在用, ,10,通用技术集团大连机床有限责任公司,AW0827503,616000.0,设备,生产,,
29,,0801006,,立式加工中心,VDL-1300,1300×600,通用技术集团大连机床有限责任公司, ,赤壁子公司,产业园03车间,2022-01,2022-01,B,,616000.0,完好,在用, ,10,通用技术集团大连机床有限责任公司,AW0827502,616000.0,设备,生产,,
30,,0801005,,立式加工中心,VDL-1300,1300×600,通用技术集团大连机床有限责任公司, ,赤壁子公司,产业园03车间,2022-01,2022-01,B,,616000.0,完好,在用, ,10,通用技术集团大连机床有限责任公司,AW0827501,616000.0,设备,生产,,
41,,9399030,,气动打标机,QDDB-L1711,,武汉麦克威工业技术有限公司,2021-11,赤壁子公司,包装组,2021-11,2021-11,C,,12850.0,完好,在用, ,3,武汉环瑞机电设备有限公司,20211116,12850.0,设备,生产,,
42,,9399029,,气动打标机,QDDB-L1711,,武汉麦克威工业技术有限公司,2021-11,赤壁子公司,包装组,2021-11,2021-11,C,,12850.0,完好,在用, ,3,武汉环瑞机电设备有限公司,20211112,12850.0,设备,生产,,
43,,5830017,,手工等离子切割机,YP-100PF,15-100A,唐山松下产业机器有限公司,2021-08,赤壁子公司,产业园001,2021-11,2021-11,C,,33000.0,完好,在用, ,8,武汉环瑞机电设备有限公司,50621N0020,33000.0,设备,生产,,"推荐切割板厚≤25mm,穿孔≤16mm."
44,,5829031,,数控火焰切割机,ZLQ-14B,1.5*3m,武汉蓝讯科技有限公司,2021-09,赤壁子公司,产业园001,2021-11,2021-11,C,,18000.0,完好,在用, ,5,武汉环瑞机电设备有限公司,210925,18000.0,设备,生产,,
45,,5829030,,数控火焰切割机,ZLQ-14B,1.5*3m,武汉蓝讯科技有限公司,2021-09,赤壁子公司,产业园001,2021-11,2021-11,C,,18000.0,完好,在用, ,5,武汉环瑞机电设备有限公司,210924,18000.0,设备,生产,,
46,,5807067,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G0141,14486.0,设备,生产,,
47,,5807066,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1119,14486.0,设备,生产,,
48,,5807065,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1118,14486.0,设备,生产,,
49,,5807064,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1117,14486.0,设备,生产,,
50,,5807063,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1110,14486.0,设备,生产,,
51,,5807062,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1109,14486.0,设备,生产,,
52,,5807061,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1106,14486.0,设备,生产,,
53,,5807060,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1105,14486.0,设备,生产,,
54,,5807059,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1103,14486.0,设备,生产,,
55,,5807058,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G0082,14486.0,设备,生产,,
56,,5807057,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G0142,14486.0,设备,生产,,
57,,5807056,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园002,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1101,14486.0,设备,生产,,
58,,5807055,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1120,14486.0,设备,生产,,
59,,5807054,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1108,14486.0,设备,生产,,
60,,5807053,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1107,14486.0,设备,生产,,
61,,5807052,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1104,14486.0,设备,生产,,
62,,5807051,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1100,14486.0,设备,生产,,
